title,ott
인간실격,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CX01_CX0000011426', 'Watcha': 'https://watcha.com/contents/m5X2MYz'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CX01_CX0000011426', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259D%25B8%25EA%25B0%2584%25EC%258B%25A4%25EA%25B2%25A9?gl=KR%26hl=en%26id=3QgweJULGVs.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5131938', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259D%25B8%25EA%25B0%2584%25EC%258B%25A4%25EA%25B2%25A9?gl=KR%26hl=en%26id=3QgweJULGVs.P'}}"
수퍼 소닉,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80217006'}, 'rent': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4930103', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%258A%2588%25ED%258D%25BC_%25EC%2586%258C%25EB%258B%2589?gl=KR%26hl=en%26id=Klddyx4Xnc0.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011328'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%258A%2588%25ED%258D%25BC_%25EC%2586%258C%25EB%258B%2589?gl=KR%26hl=en%26id=TWMYDHJ1Hgo.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011328', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4930102'}}"
원더 우먼 1984,"{'streaming': {}, 'rent': {}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259B%2590%25EB%258D%2594%25EC%259A%25B0%25EB%25A8%25BC_1984?gl=KR%26hl=en%26id=wwzLm53-2FM.P', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5861836'}}"
비바리움,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000131134', 'Watcha': 'https://watcha.com/contents/mdj24Aa'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000131134', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B9%2584%25EB%25B0%2594%25EB%25A6%25AC%25EC%259B%2580?gl=KR%26hl=en%26id=jufmFJ7gyoM.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5399142', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B9%2584%25EB%25B0%2594%25EB%25A6%25AC%25EC%259B%2580?gl=KR%26hl=en%26id=jufmFJ7gyoM.P'}}"
페이트/스테이 나이트 [헤븐즈 필]: 제2장 로스트 버터플라이,"{'streaming': {'Watcha': 'https://watcha.com/contents/mWwwa24'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%258E%2598%25EC%259D%25B4%25ED%258A%25B8_%25EC%258A%25A4%25ED%2585%258C%25EC%259D%25B4_%25EB%2582%2598%25EC%259D%25B4%25ED%258A%25B8_%25ED%2597%25A4%25EB%25B8%2590%25EC%25A6%2588%25ED%2595%2584_%25EC%25A0%259C2%25EC%259E%25A5_%25EB%25A1%259C%25EC%258A%25A4%25ED%258A%25B8_%25EB%25B2%2584%25ED%2584%25B0%25ED%2594%258C%25EB%259D%25BC%25EC%259D%25B4_%25EC%259E%2590%25EB%25A7%2589?gl=KR%26hl=en%26id=5WCqHLbwJys.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4437763', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%258E%2598%25EC%259D%25B4%25ED%258A%25B8_%25EC%258A%25A4%25ED%2585%258C%25EC%259D%25B4_%25EB%2582%2598%25EC%259D%25B4%25ED%258A%25B8_%25ED%2597%25A4%25EB%25B8%2590%25EC%25A6%2588%25ED%2595%2584_%25EC%25A0%259C2%25EC%259E%25A5_%25EB%25A1%259C%25EC%258A%25A4%25ED%258A%25B8_%25EB%25B2%2584%25ED%2584%25B0%25ED%2594%258C%25EB%259D%25BC%25EC%259D%25B4_%25EC%259E%2590%25EB%25A7%2589?gl=KR%26hl=en%26id=5WCqHLbwJys.P'}}"
양자물리학,"{'streaming': {'Watcha': 'https://watcha.com/contents/m5XKVDL'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000216', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4839539', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2596%2591%25EC%259E%2590%25EB%25AC%25BC%25EB%25A6%25AC%25ED%2595%2599?gl=KR%26hl=en%26id=ShWpnp028is.P'}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000216', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4839540', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2596%2591%25EC%259E%2590%25EB%25AC%25BC%25EB%25A6%25AC%25ED%2595%2599?gl=KR%26hl=en%26id=ShWpnp028is.P'}}"
몬스터 헌터,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80987626'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25AA%25AC%25EC%258A%25A4%25ED%2584%25B0_%25ED%2597%258C%25ED%2584%25B0_Monster_Hunter?gl=KR%26hl=en%26id=jdFtPHzGhVw.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011690'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25AA%25AC%25EC%258A%25A4%25ED%2584%25B0_%25ED%2597%258C%25ED%2584%25B0_Monster_Hunter?gl=KR%26hl=en%26id=jdFtPHzGhVw.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011690'}}"
강철비 2: 정상회담,"{'streaming': {'Watcha': 'https://watcha.com/contents/mOkLvkQ'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CT01_MBC000013377', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EA%25B0%2595%25EC%25B2%25A0%25EB%25B9%25842_%25EC%25A0%2595%25EC%2583%2581%25ED%259A%258C%25EB%258B%25B4_%25ED%2599%2595%25EC%259E%25A5%25ED%258C%2590?gl=KR%26hl=en%26id=uZgA-_Hxi_E.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5411524', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EA%25B0%2595%25EC%25B2%25A0%25EB%25B9%25842_%25EC%25A0%2595%25EC%2583%2581%25ED%259A%258C%25EB%258B%25B4_%25ED%2599%2595%25EC%259E%25A5%25ED%258C%2590?gl=KR%26hl=en%26id=uZgA-_Hxi_E.P'}}"
알라딘: 램프의 신,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C3001_C300000012127'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%258C%25EB%259D%25BC%25EB%2594%2598_%25EB%259E%25A8%25ED%2594%2584%25EC%259D%2598_%25EC%258B%25A0?gl=KR%26hl=en%26id=RBcz0U0Phlo.P'}}"
싱크로닉,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012699', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%258B%25B1%25ED%2581%25AC%25EB%25A1%259C%25EB%258B%2589?gl=KR%26hl=en%26id=xtXty6xMdfE.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6107726', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%258B%25B1%25ED%2581%25AC%25EB%25A1%259C%25EB%258B%2589?gl=KR%26hl=en%26id=xtXty6xMdfE.P'}}"
